"","X","Stay.at.Home.Order","Mandatory.Quarantine.for.Travelers","Non.Essential.Business.Closures","Large.Gatherings.Ban","School.Closures","Restaurant.Limits","Primary.Election.Postponement","Version","Face.Covering.Requirement"
"2","Alabama","Lifted","-","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Lifted","Closed for School Year","Reopened to Dine-in Service","-","2020_06_04",NA
"3","Alaska","Lifted","All Travelers","All Non-Essential Businesses Permitted to Reopen","Lifted","Closed for School Year","Reopened to Dine-in Service ","-","2020_06_04",NA
"4","Arizona","Lifted","Lifted","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Lifted","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","2020_06_04",NA
"5","Arkansas","-","From Certain States","-",">10 People Prohibited","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","2020_06_04",NA
"6","California","Statewide","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","All Gatherings Prohibited","Recommended Closure for School Year","Closed Except for Takeout/Delivery","-","2020_06_04",NA
"7","Colorado","Rolled Back to High Risk Groups","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Below 25","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","2020_06_04",NA
"8","Connecticut","Lifted","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Below 25","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","Postponed","2020_06_04",NA
"9","Delaware","Lifted","Lifted","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity",">10 People Prohibited","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","Postponed","2020_06_04",NA
"10","District of Columbia","Lifted","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity",">10 People Prohibited","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","2020_06_04",NA
"11","Florida","Lifted","From Certain States","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Other","Recommended Closure for School Year","Reopened to Dine-in Service with Capacity Limits","-","2020_06_04",NA
"12","Georgia","Rolled Back to High Risk Groups","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit of 25","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","Postponed","2020_06_04",NA
"13","Hawaii","Statewide","All Travelers","Some Non-Essential Businesses Permitted to Reopen",">10 People Prohibited","Closed for School Year","Limited Dine-in Service","-","2020_06_04",NA
"14","Idaho","Lifted","Lifted","Some Non-Essential Businesses Permitted to Reopen","Lifted","Recommended Closure","Reopened to Dine-in Service with Capacity Limits","-","2020_06_04",NA
"15","Illinois","Lifted","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Below 25","Closed for School Year","Closed Except for Takeout/Delivery","-","2020_06_04",NA
"16","Indiana","Lifted","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Above 25","Closed","Reopened to Dine-in Service with Capacity Limits","Postponed","2020_06_04",NA
"17","Iowa","-","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Above 25","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","2020_06_04",NA
"18","Kansas","Lifted","From Certain States","All Non-Essential Businesses Permitted to Reopen","Expanded to New Limit Below 25","Closed for School Year","Limited Dine-in Service","-","2020_06_04",NA
"19","Kentucky","Lifted","Lifted","Some Non-Essential Businesses Permitted to Reopen","Expanded to New Limit Below 25","Recommended Closure for School Year","Reopened to Dine-in Service with Capacity Limits","Postponed","2020_06_04",NA
"20","Louisiana","Lifted","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity",">10 People Prohibited","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","Postponed","2020_06_04",NA
"21","Maine","Statewide","All Travelers","Some Non-Essential Businesses Permitted to Reopen","Expanded to New Limit Above 25","Recommended Closure for School Year","Reopened to Dine-in Service with Capacity Limits","Postponed","2020_06_04",NA
"22","Maryland","Lifted","All Travelers","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity",">10 People Prohibited","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","Postponed","2020_06_04",NA
"23","Massachusetts","Rolled Back to High Risk Groups","All Travelers","Some Non-Essential Businesses Permitted to Reopen",">10 People Prohibited","Closed for School Year","Closed Except for Takeout/Delivery","-","2020_06_04",NA
"24","Michigan","Lifted","-","Some Non-Essential Businesses Permitted to Reopen","Expanded to New Limit Above 25","Closed for School Year","Closed Except for Takeout/Delivery","-","2020_06_04",NA
"25","Minnesota","Lifted","-","Some Non-Essential Businesses Permitted to Reopen",">10 People Prohibited","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","2020_06_04",NA
"26","Mississippi","Lifted","-","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Below 25","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","Postponed","2020_06_04",NA
"27","Missouri","Lifted","-","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Lifted","Closed for School Year","Reopened to Dine-in Service","-","2020_06_04",NA
"28","Montana","Lifted","Lifted","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Above 25","Rescinded","Reopened to Dine-in Service with Capacity Limits","-","2020_06_04",NA
"29","Nebraska","-","Rolled Back to International Travel","-","Expanded to New Limit of 25","Closed","Reopened to Dine-in Service with Capacity Limits","-","2020_06_04",NA
"30","Nevada","Statewide","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity",">10 People Prohibited","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","2020_06_04",NA
"31","New Hampshire","Statewide","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity",">10 People Prohibited","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","2020_06_04",NA
"32","New Jersey","Statewide","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Below 25","Closed","Closed Except for Takeout/Delivery","Postponed","2020_06_04",NA
"33","New Mexico","Statewide","All Air Travelers","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Below 25","Closed for School Year","Closed Except for Takeout/Delivery","-","2020_06_04",NA
"34","New York","Statewide","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Below 25","Closed for School Year","Closed Except for Takeout/Delivery","Canceled","2020_06_04",NA
"35","North Carolina","Lifted","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity",">10 People Prohibited","Closed","Reopened to Dine-in Service with Capacity Limits","-","2020_06_04",NA
"36","North Dakota","-","All Travelers","All Non-Essential Businesses Permitted to Reopen","-","Closed","Reopened to Dine-in Service","-","2020_06_04",NA
"37","Ohio","Lifted","Lifted","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Below 25","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","Postponed","2020_06_04",NA
"38","Oklahoma","High-Risk Groups","Lifted","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity",">10 People Prohibited","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","2020_06_04",NA
