"","X","Stay.at.Home.Order","Mandatory.Quarantine.for.Travelers","Non.Essential.Business.Closures","Large.Gatherings.Ban","School.Closures","Restaurant.Limits","Primary.Election.Postponement","Version","Face.Covering.Requirement"
"1536","Alabama","","","Effective","","","","","2020_03_28",NA
"1537","Alabama","","","","Effective","Effective","","","2020_03_19",NA
"1538","Alabama","","","","","","Effective","","2020_03_17",NA
"1539","Alabama","","","","","","","","2020_03_13",NA
"1540","Alabama","Effective","","","","","","","2020_04_04",NA
"1541","Alaska","Effective","","Effective","","","","","2020_03_28",NA
"1542","Alaska","","Effective","","","","","","2020_03_25",NA
"1543","Alaska","","","","Effective","","","","2020_03_24",NA
"1544","Alaska","","","","","Effective","","","2020_03_20",NA
"1545","Alaska","","","","","","Effective","","2020_03_18",NA
"1546","Alaska","","","","","","","","2020_03_11",NA
"1547","Arizona","Effective","","Effective","","","","","2020_03_31",NA
"1548","Arizona","","Effective","","","","","","2020_04_09",NA
"1549","Arizona","","","","Effective","","","","2020_03_30",NA
"1550","Arizona","","","","","Effective","Effective","","2020_03_20",NA
"1551","Arizona","","","","","","","","2020_03_11",NA
"1552","Arkansas","","Effective","","","","","","2020_05_14",NA
"1553","Arkansas","","","","Effective","","","","2020_03_27",NA
"1554","Arkansas","","","","","Effective","","","2020_03_15",NA
"1555","Arkansas","","","","","","Effective","","2020_03_19",NA
"1556","Arkansas","","","","","","","","2020_03_11",NA
"1557","California","Effective","","Effective","","","","","2020_03_19",NA
"1558","California","","","","Effective","","Effective","","2020_03_16",NA
"1559","California","","","","","","","","2020_03_04",NA
"1560","Colorado","Effective","","Effective","Effective","","","","2020_03_26",NA
"1561","Colorado","","","","","Effective","","","2020_03_23",NA
"1562","Colorado","","","","","","Effective","","2020_03_17",NA
"1563","Colorado","","","","","","","","2020_03_10",NA
"1564","Connecticut","Effective","","Effective","","","","","2020_03_23",NA
"1565","Connecticut","","Effective","","","","","","2020_06_25",NA
"1566","Connecticut","","","","Effective","","Effective","","2020_03_16",NA
"1567","Connecticut","","","","","Effective","","","2020_03_17",NA
"1568","Connecticut","","","","","","","Postponed","Postponed",NA
"1569","Connecticut","","","","","","","","2020_03_10",NA
"1570","Delaware","Effective","","Effective","","","","","2020_03_24",NA
"1571","Delaware","","Effective","","","","","","2020_03_30",NA
"1572","Delaware","","","","Effective","Effective","Effective","","2020_03_16",NA
"1573","Delaware","","","","","","","Postponed","Postponed",NA
"1574","Delaware","","","","","","","","2020_03_12",NA
"1575","District Of Columbia","Effective","","","","","","","2020_04_01",NA
"1576","District Of Columbia","","","Effective","","","","","2020_03_25",NA
"1577","District Of Columbia","","","","Effective","","","","2020_03_20",NA
"1578","District Of Columbia","","","","","Effective","Effective","","2020_03_16",NA
"1579","District Of Columbia","","","","","","","","2020_03_11",NA
"1580","Florida","Effective","","Effective","","","","","2020_04_03",NA
"1581","Florida","","Effective","","","","","","2020_03_24",NA
"1582","Florida","","","","Effective","","","","2020_03_25",NA
"1583","Florida","","","","","Effective","","","2020_03_17",NA
"1584","Florida","","","","","","Effective","","2020_03_20",NA
"1585","Florida","","","","","","","","2020_03_09",NA
"1586","Georgia","Effective","","Effective","Effective","","Effective","","2020_04_03",NA
"1587","Georgia","","","","","Effective","","","2020_03_18",NA
"1588","Georgia","","","","","","","Postponed","Postponed",NA
"1589","Georgia","","","","","","","","2020_03_13",NA
"1590","Hawaii","Effective","","Effective","","","","","2020_03_25",NA
"1591","Hawaii","","","","Effective","","Effective","","2020_03_20",NA
"1592","Hawaii","","Effective","","","","","","2020_03_26",NA
"1593","Hawaii","","","","","Effective","","","2020_03_16",NA
"1594","Hawaii","","","","","","","","2020_03_04",NA
"1595","Idaho","Effective","","Effective","Effective","Effective","Effective","","2020_03_25",NA
"1596","Idaho","","Effective","","","","","","2020_04_15",NA
"1597","Idaho","","","","","","","","2020_03_13",NA
"1598","Illinois","Effective","","Effective","","","","","2020_03_21",NA
