"","X","Province_State","Last_Update","Confirmed","Deaths","Recovered","Active","Incident_Rate","People_Tested","People_Hospitalized","Mortality_Rate","Testing_Rate","Hospitalization_Rate"
"1",1,"Alabama","4/12/2020 23:18",3563,93,NA,3470,75.98802021,21583,437,2.610159978,460.3001516,12.26494527
"2",2,"Alaska","4/12/2020 23:18",272,8,66,264,45.50404936,8038,31,2.941176471,1344.711576,11.39705882
"3",3,"Arizona","4/12/2020 23:18",3542,115,NA,3427,48.66242224,42109,NA,3.246753247,578.5222863,NA
"4",4,"Arkansas","4/12/2020 23:18",1280,27,367,1253,49.43942261,19722,130,2.109375,761.7533537,10.15625
"5",5,"California","4/12/2020 23:18",22795,640,NA,22155,58.13772584,190328,5234,2.81202018,485.4238685,22.9611757
"6",6,"Colorado","4/12/2020 23:18",7307,289,NA,7018,128.943729,34873,1376,3.955111537,615.3899908,18.8312577
"7",7,"Connecticut","4/12/2020 23:18",12035,554,NA,11481,337.5604825,41220,1654,4.603240548,1156.148159,13.74324886
"8",8,"Delaware","4/12/2020 23:18",1625,35,191,1590,166.8782169,11103,190,2.153846154,1140.214672,11.69230769
"9",9,"Diamond Princess","4/12/2020 23:18",49,0,0,49,NA,NA,NA,0,NA,NA
"10",10,"District of Columbia","4/12/2020 23:18",1875,50,493,1825,265.6751905,10640,NA,2.666666667,1507.618148,NA
"11",11,"Florida","4/12/2020 23:18",19895,461,NA,19434,93.70022691,182753,2772,2.317165117,860.7186513,13.93314903
"12",12,"Georgia","4/12/2020 23:18",12452,433,NA,12019,122.8081405,54453,2505,3.477353036,537.0439828,20.11725024
"13",13,"Grand Princess","4/12/2020 23:18",103,0,0,103,NA,NA,NA,0,NA,NA
"14",14,"Guam","4/12/2020 23:18",133,5,58,128,80.98447899,826,13,3.759398496,502.9562379,9.77443609
"15",15,"Hawaii","4/12/2020 23:18",499,9,300,490,35.24543964,17968,44,1.803607214,1269.118355,8.817635271
"16",16,"Idaho","4/12/2020 23:18",1407,27,NA,1380,87.36433536,14308,131,1.918976546,888.4214004,9.310589908
"17",17,"Illinois","4/12/2020 23:18",20852,720,NA,20132,177.6807818,100735,3680,3.452906196,858.3672336,17.64818722
