Province_State,Version,Daily_Confirmed,Confirmed,Daily_Deaths,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,Testing_Rate,Hospitalization_Rate,State.Is.Easing.Social.Distancing.Measures,Stay.at.Home.Order,Mandatory.Quarantine.for.Travelers,Non.Essential.Business.Closures,Large.Gatherings.Ban,School.Closures,Restaurant.Limits,Emergency.Declaration,Face.Covering.Requirement,Status.of.Reopening,Bar.Closures
Alabama,2020-03-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,First Instance,NA,NA,NA
Alabama,2020-03-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,First Instance,First Instance,NA,NA,NA
Alabama,2020-03-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,First Instance,First Instance,First Instance,First Instance,NA,NA,NA
Alabama,2020-03-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,First Instance,First Instance,First Instance,First Instance,First Instance,NA,NA,NA
Alabama,2020-04-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,First Instance,NA,First Instance,First Instance,First Instance,First Instance,First Instance,NA,NA,NA
Alabama,2020-04-12,NA,3563,NA,93,NA,3470,75.98802021,21583,437,2.610159978,460.3001516,12.26494527,NA,First Instance,NA,First Instance,First Instance,First Instance,First Instance,First Instance,NA,NA,NA
Alabama,2020-04-13,171,3734,6,99,NA,3635,79.63493333,29182,457,2.651312266,622.3638523,12.23888591,NA,First Instance,NA,First Instance,First Instance,First Instance,First Instance,First Instance,NA,NA,NA
Alabama,2020-04-14,219,3953,15,114,NA,3839,84.30554137,33117,493,2.883885656,706.2855081,12.4715406,NA,First Instance,NA,First Instance,First Instance,First Instance,First Instance,First Instance,NA,NA,NA
Alabama,2020-04-15,122,4075,4,118,NA,3957,86.9074326,34077,525,2.895705521,726.7594063,12.88343558,NA,First Instance,NA,First Instance,First Instance,First Instance,First Instance,First Instance,NA,NA,NA
Alabama,2020-04-16,270,4345,15,133,NA,4212,92.66571648,36391,553,3.060989643,776.1100318,12.72727273,NA,First Instance,NA,First Instance,First Instance,First Instance,First Instance,First Instance,NA,NA,NA
Alabama,2020-04-17,226,4571,15,148,NA,4423,97.48561335,37848,594,3.237803544,807.1834378,12.99496828,NA,First Instance,NA,First Instance,First Instance,First Instance,First Instance,First Instance,NA,NA,NA
Alabama,2020-04-18,141,4712,5,153,NA,4559,100.4927172,42538,620,3.247028862,907.2069615,13.15789474,NA,First Instance,NA,First Instance,First Instance,First Instance,First Instance,First Instance,NA,NA,NA
Alabama,2020-04-19,176,4888,4,157,NA,4731,104.2462652,45712,641,3.211947627,974.8987875,13.11374795,NA,First Instance,NA,First Instance,First Instance,First Instance,First Instance,First Instance,NA,NA,NA
Alabama,2020-04-20,191,5079,6,163,NA,4916,108.3197178,45900,641,3.209293168,978.9082592,12.62059461,NA,First Instance,NA,First Instance,First Instance,First Instance,First Instance,First Instance,NA,NA,NA
Alabama,2020-04-21,238,5317,20,183,NA,5134,113.3955384,48526,699,3.441790483,1034.912902,13.14651119,NA,First Instance,NA,First Instance,First Instance,First Instance,First Instance,First Instance,NA,NA,NA
Alabama,2020-04-22,276,5593,13,196,NA,5397,119.2817842,48760,730,3.504380476,1039.903414,13.05202932,NA,First Instance,NA,First Instance,First Instance,First Instance,First Instance,First Instance,NA,NA,NA
Alabama,2020-04-24,239,5832,6,202,NA,5630,124.3789318,52641,768,3.463648834,1122.673413,13.16872428,NA,First Instance,NA,First Instance,First Instance,First Instance,First Instance,First Instance,NA,NA,NA
Alabama,2020-04-25,194,6026,7,209,NA,5817,128.5163654,52889,769,3.468304016,1127.962504,12.76136741,NA,First Instance,NA,First Instance,First Instance,First Instance,First Instance,First Instance,NA,NA,NA
Alabama,2020-04-26,0,6026,0,209,NA,5817,128.5163654,71344,839,3.468304016,1521.55187,13.92300033,NA,First Instance,NA,First Instance,First Instance,First Instance,First Instance,First Instance,NA,NA,NA
Alabama,2020-04-27,395,6421,10,219,NA,6202,136.9405214,73551,845,3.410683694,1568.620509,13.15994393,NA,First Instance,NA,First Instance,First Instance,First Instance,First Instance,First Instance,NA,NA,NA
Alabama,2020-04-28,118,6539,9,228,NA,6311,139.4571047,73997,872,3.486771678,1578.132341,13.33537238,NA,First Instance,NA,First Instance,First Instance,First Instance,First Instance,First Instance,NA,NA,NA
Alabama,2020-04-29,211,6750,14,242,NA,6508,143.9570969,75827,911,3.585185185,1617.16071,13.4962963,NA,First Instance,NA,First Instance,First Instance,First Instance,First Instance,First Instance,NA,NA,NA
Alabama,2020-04-30,162,6912,14,256,NA,6656,147.4120673,80449,945,3.703703704,1715.733999,13.671875,NA,Rolled Back,NA,Rolled Back,First Instance,First Instance,First Instance,First Instance,NA,NA,NA
Alabama,2020-05-01,176,7088,16,272,0,6816,151.1656153,87196,978,3.837471783,1859.627115,13.7979684,NA,Rolled Back,NA,Rolled Back,First Instance,First Instance,First Instance,First Instance,NA,NA,NA
Alabama,2020-05-02,206,7294,17,289,0,7005,155.5589726,91933,1008,3.96216068,1960.653006,13.81957774,NA,Rolled Back,NA,Rolled Back,First Instance,First Instance,First Instance,First Instance,NA,NA,NA
Alabama,2020-05-03,317,7611,-1,288,0,7323,162.3196244,92209,1023,3.783996847,1966.539252,13.44107213,NA,Rolled Back,NA,Rolled Back,First Instance,First Instance,First Instance,First Instance,NA,NA,NA
Alabama,2020-05-04,277,7888,2,290,0,7598,168.2271971,92500,1035,3.676470588,1972.745403,13.12119675,NA,Rolled Back,NA,Rolled Back,First Instance,First Instance,First Instance,First Instance,NA,NA,NA
Alabama,2020-05-05,224,8112,8,298,0,7814,173.0044401,103117,1064,3.67357002,2199.173921,13.11637081,NA,Rolled Back,NA,Rolled Back,First Instance,First Instance,First Instance,First Instance,NA,NA,NA
Alabama,2020-05-06,325,8437,17,315,NA,8122,179.9357077,106766,1107,3.733554581,2276.996061,13.12077753,NA,Rolled Back,NA,Rolled Back,First Instance,First Instance,First Instance,First Instance,NA,NA,NA
Alabama,2020-05-07,254,8691,28,343,NA,8348,185.3527599,109516,1158,3.946611437,2335.645249,13.32412841,NA,Rolled Back,NA,Rolled Back,First Instance,First Instance,First Instance,First Instance,NA,NA,NA
Alabama,2020-05-08,355,9046,26,369,NA,8677,192.9238369,115173,1178,4.079151006,2456.291959,13.02233031,NA,Rolled Back,NA,Rolled Back,First Instance,First Instance,First Instance,First Instance,NA,NA,NA
Alabama,2020-05-09,339,9385,14,383,NA,9002,200.1536822,120114,1207,4.080980288,2561.668554,12.86094832,NA,Rolled Back,NA,Rolled Back,First Instance,First Instance,First Instance,First Instance,NA,NA,NA
Alabama,2020-05-10,283,9668,7,390,NA,9278,206.1892168,125494,1228,4.033926355,2676.407692,12.70169632,NA,Rolled Back,NA,Rolled Back,First Instance,First Instance,First Instance,First Instance,NA,NA,NA
Alabama,2020-05-11,221,9889,3,393,NA,9496,210.9024788,127421,1240,3.97411265,2717.504778,12.53918495,NA,Rolled Back,NA,Rolled Back,Rolled Back,First Instance,Rolled Back,First Instance,NA,NA,NA
Alabama,2020-05-12,275,10164,10,403,NA,9761,216.7673975,129444,1256,3.96497442,2760.649253,12.35733963,NA,Rolled Back,NA,Rolled Back,Rolled Back,First Instance,Rolled Back,First Instance,NA,NA,NA
Alabama,2020-05-13,300,10464,32,435,NA,10029,223.1654907,133218,1287,4.157110092,2841.137265,12.29931193,NA,Rolled Back,NA,Rolled Back,Rolled Back,First Instance,Rolled Back,First Instance,NA,NA,NA
Alabama,2020-05-14,236,10700,15,450,NA,10250,228.1986574,136372,1317,4.205607477,2908.402552,12.30841121,NA,Rolled Back,NA,Rolled Back,Rolled Back,First Instance,Rolled Back,First Instance,NA,NA,NA
