"X","State.Is.Easing.Social.Distancing.Measures","Stay.at.Home.Order","Mandatory.Quarantine.for.Travelers","Non.Essential.Business.Closures","Large.Gatherings.Ban","School.Closures","Restaurant.Limits","Primary.Election.Postponement","Emergency.Declaration","Version","Face.Covering.Requirement","Status.of.Reopening","Bar.Closures"
"United States","Yes (51)","Original Stay at Home Order in Place (13); Stay at Home Order Eased or Lifted (32); No Action (6)","Original Traveler Quarantine Mandate in Place (11); Traveler Quarantine Mandate Eased or Lifted (14); No Action (26)","Some or All Non-Essential Businesses Permitted to Reopen (46); No Action (5)","Original Gathering Ban/Limit in Place (18); Gathering Ban/Limit Expanded or Lifted (32); No Action (1)","Closed (7); Closed for School Year (36); Recommended Closure (1); Recommended Closure for School Year (6); Rescinded (1)","Original Restaurant Closures Still in Place (11); Restaurants Reopened to Dine-in Service (39); No Action (1)","Postponed (14); Canceled (1); No (36)","Yes (51); No (0)","2020_06_04",NA,NA,NA
"Alabama","Yes","Lifted","-","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Lifted","Closed for School Year","Reopened to Dine-in Service","-","Yes","2020_06_04",NA,NA,NA
"Alaska","Yes","Lifted","All Travelers","All Non-Essential Businesses Permitted to Reopen","Lifted","Closed for School Year","Reopened to Dine-in Service ","-","Yes","2020_06_04",NA,NA,NA
"Arizona","Yes","Lifted","Lifted","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Lifted","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_06_04",NA,NA,NA
"Arkansas","Yes","-","From Certain States","-",">10 People Prohibited","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_06_04",NA,NA,NA
"California","Yes","Statewide","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","All Gatherings Prohibited","Recommended Closure for School Year","Closed Except for Takeout/Delivery","-","Yes","2020_06_04",NA,NA,NA
"Colorado","Yes","Rolled Back to High Risk Groups","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Below 25","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_06_04",NA,NA,NA
"Connecticut","Yes","Lifted","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Below 25","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","Postponed","Yes","2020_06_04",NA,NA,NA
"Delaware","Yes","Lifted","Lifted","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity",">10 People Prohibited","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","Postponed","Yes","2020_06_04",NA,NA,NA
"District of Columbia","Yes","Lifted","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity",">10 People Prohibited","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_06_04",NA,NA,NA
